date,B039RC1M027SBEA,B040RC1M027SBEA,DDURRAM1M225NBEA,DDURRGM1M225SBEA,DFXARAM1M225NBEA,DFXARC1M027SBEA,DFXARGM1M225SBEA,DGDSRAM1M225NBEA,DGDSRGM1M225SBEA,DNDGRAM1M225NBEA,DNDGRGM1M225SBEA,DNRGRAM1M225NBEA,DNRGRC1M027SBEA,DNRGRGM1M225SBEA,DPCCRAM1M225NBEA,DPCCRC1M027SBEA,DPCCRGM1M225SBEA,DPCERAM1M225NBEA,DPCERGM1M225SBEA,DSERRAM1M225NBEA,DSERRGM1M225SBEA,DDURRG3M086SBEA,DFXARG3M086SBEA,DGDSRG3M086SBEA,DNDGRG3M086SBEA,DNRGRG3M086SBEA,DDURRA3M086SBEA,DFXARA3M086SBEA,DGDSRA3M086SBEA,DNDGRA3M086SBEA,DNRGRA3M086SBEA,DPCCRA3M086SBEA,DPCERA3M086SBEA,DSERRA3M086SBEA,MVGFD027MNFRBDAL,MVMTD027MNFRBDAL,MVPHGFD027MNFRBDAL
1960-01-01 00:00:00,9.2,18.6,1.2,-0.2,-1.6,61.6,-0.2,0.4,-0.2,0.1,-0.2,1.4,23.3,-0.4,0.6,238.7,0,0.3,-0.1,0.2,0.1,57.056,16.322,26.469,17.903,8.838,6.621,44.622,17.951,29.034,41.809,14.642,17.956,17.427,275.6,179.7,200.5
1960-02-01 00:00:00,9.3,18.7,5.7,0.2,-0.7,61.1,-0.1,0.7,0,-1,0,0.7,23.4,-0.1,0.7,240.8,0.2,0.4,0.1,0.1,0.2,57.149,16.303,26.481,17.904,8.832,6.996,44.289,18.075,28.754,42.106,14.744,18.034,17.451,276.1,179.8,201.0
1960-03-01 00:00:00,9.3,18.9,3.9,-0.3,1.9,62.6,0.5,2.3,0.1,1.7,0.2,5,24.4,-0.6,1,243.2,0,1.4,0.1,0.4,0.1,56.982,16.388,26.496,17.937,8.783,7.268,45.116,18.491,29.254,44.192,14.885,18.289,17.521,276.7,178.8,200.0
1960-04-01 00:00:00,9.3,19.0,3.5,0.1,0.3,63.4,1,2.3,0.5,1.8,0.6,-0.5,24.5,0.6,2.1,248.6,0.2,1.5,0.4,0.7,0.2,57.05,16.555,26.628,18.05,8.834,7.524,45.27,18.914,29.794,43.978,15.191,18.572,17.64,277.0,180.4,200.9
1960-05-01 00:00:00,9.3,19.0,-6.9,0,-1,62.8,0,-3.9,0,-2.8,0,-2,23.9,-0.1,-2.3,243.4,0.2,-2,0.1,0.2,0.3,57.044,16.555,26.619,18.042,8.821,7.006,44.796,18.176,28.958,43.1,14.846,18.198,17.681,278.4,180.6,200.5
1960-06-01 00:00:00,9.3,19.2,-2.5,-0.3,0,62.6,-0.2,0.1,-0.1,1,0,0.8,24.2,0.4,-0.1,243.2,0.1,0,0,-0.1,0.2,56.888,16.527,26.596,18.038,8.859,6.83,44.794,18.189,29.24,43.444,14.829,18.194,17.658,278.1,178.5,198.1
1960-07-01 00:00:00,9.3,19.2,0.9,0,0.9,63.2,0,0.5,0.1,0.3,0.2,-1.4,24.1,0.8,0.2,244.1,0.2,0.2,0.2,-0.1,0.2,56.894,16.525,26.628,18.067,8.929,6.89,45.185,18.277,29.342,42.841,14.857,18.231,17.637,283.6,183.8,202.9
1960-08-01 00:00:00,9.3,19.3,2,0,-1.4,62.3,0,-0.1,0.2,-0.8,0.2,-0.2,24.2,0.8,0.3,245.1,0.1,-0.1,0.2,-0.1,0.2,56.907,16.531,26.673,18.107,8.998,7.028,44.544,18.261,29.109,42.76,14.895,18.213,17.618,283.4,182.8,201.8
1960-09-01 00:00:00,9.3,19.4,3.5,-0.4,-0.5,62,0.1,0.7,-0.1,-0.3,0.1,1.4,24.5,-0.1,0.6,246.8,0.1,0.5,0.1,0.2,0.2,56.658,16.541,26.654,18.117,8.989,7.273,44.325,18.386,29.026,43.339,14.989,18.3,17.661,283.1,182.5,201.8
1960-10-01 00:00:00,9.3,19.5,-0.9,-0.1,0.3,62.6,0.6,0.5,0.1,1,0.2,-0.4,24.3,-0.5,0.6,248.5,0.1,0.5,0.1,0.5,0.1,56.61,16.634,26.682,18.147,8.946,7.207,44.443,18.47,29.304,43.172,15.084,18.389,17.752,284.7,185.5,203.6
1960-11-01 00:00:00,9.2,19.6,-4.1,0.7,1.7,63.8,0.4,-1.1,0.4,0,0.4,0.1,24.6,1,-0.9,247.0,0.3,-0.3,0.3,0.5,0.2,56.981,16.696,26.797,18.211,9.033,6.911,45.178,18.276,29.312,43.215,14.949,18.325,17.834,283.0,183.9,201.9
1960-12-01 00:00:00,9.1,19.7,-5.4,-0.7,-2.2,62.6,0.4,-2.3,-0.1,-1.3,0.1,0.9,24.7,-0.5,-1.2,244.0,0,-1.2,0,0,0.1,56.57,16.761,26.778,18.237,8.991,6.541,44.164,17.847,28.923,43.608,14.773,18.1,17.84,285.9,186.2,204.4
1961-01-01 00:00:00,9.5,19.8,-2.0,0.2,1.5,63.5,-0.1,0,0,0.6,0,-1.2,24.5,0.3,0.1,244.2,0,0.2,0,0.5,0,56.706,16.739,26.79,18.233,9.016,6.413,44.82,17.846,29.102,43.076,14.785,18.145,17.934,284.2,185.5,204.4
1961-02-01 00:00:00,9.5,19.9,0.7,0,0.3,63.8,0.1,0.7,0,0.7,0,-1.1,24.2,0.1,0.5,245.8,0.1,0.4,0.1,0,0.2,56.725,16.754,26.803,18.242,9.022,6.459,44.967,17.97,29.302,42.591,14.863,18.212,17.936,285.7,186.7,205.7
1961-03-01 00:00:00,9.4,20.0,3,0.1,0.3,63.9,-0.1,1.6,-0.1,1.2,-0.2,0.8,24.2,-0.8,1.5,249.6,0,1.2,-0.1,0.8,0,56.759,16.73,26.764,18.203,8.951,6.652,45.115,18.262,29.653,42.943,15.09,18.438,18.083,282.6,183.4,202.2
1961-04-01 00:00:00,9.5,20.0,-1.3,0.2,0.6,64.1,-0.2,-0.4,-0.3,-0.1,-0.5,3.6,24.7,-1.6,-0.4,248.8,0.1,0.0,-0.1,0.5,0.2,56.88,16.692,26.685,18.12,8.81,6.567,45.401,18.195,29.634,44.47,15.024,18.447,18.174,283.7,185.3,204.0
1961-05-01 00:00:00,9.5,20.1,1.4,0.2,0,63.8,-0.5,0.6,0,0.4,-0.1,-0.6,24.7,0.6,0.9,251.4,0.1,0.6,0.1,0.6,0.1,57.015,16.614,26.682,18.104,8.864,6.662,45.385,18.313,29.748,44.206,15.158,18.559,18.277,285.2,185.7,204.1
1961-06-01 00:00:00,9.6,20.2,0.6,0.1,0.5,63.9,-0.4,0.4,-0.1,0.4,-0.2,0.5,24.8,0.1,0.2,252.2,0.2,0.2,0.0,0.1,0.2,57.1,16.55,26.658,18.073,8.876,6.7,45.599,18.387,29.854,44.41,15.183,18.604,18.289,282.8,183.2,201.1
1961-07-01 00:00:00,9.6,20.3,0.8,0.1,-1.7,63,0.3,-0.4,0.3,-0.8,0.3,-1.2,24.7,0.7,0.1,252.9,0.2,-0.3,0.2,-0.2,0.2,57.144,16.593,26.728,18.131,8.937,6.753,44.84,18.312,29.616,43.896,15.202,18.548,18.255,286.1,187.1,205.1
1961-08-01 00:00:00,9.7,20.4,0.8,0.2,1.5,63.8,-0.2,0.6,0.1,0.5,0.1,-1.3,24.5,0.5,0.2,253.8,0.1,0.4,0.1,0.1,0.1,57.237,16.568,26.75,18.141,8.98,6.81,45.509,18.416,29.757,43.304,15.24,18.615,18.279,286.8,186.3,204.5
1961-09-01 00:00:00,9.6,20.6,0.6,0.3,0.6,64,-0.2,0.6,0,0.6,-0.1,0.5,24.6,0.1,0.6,255.7,0.2,0.6,0.1,0.5,0.2,57.393,16.531,26.752,18.126,8.99,6.853,45.774,18.525,29.931,43.518,15.325,18.718,18.373,287.6,187.9,205.5
1961-10-01 00:00:00,9.7,20.6,1.5,-0.1,-0.6,63.6,0,0.5,-0.1,0.1,-0.1,0.1,24.5,-0.5,1,258.3,0,0.6,0,0.8,0.1,57.34,16.533,26.722,18.104,8.943,6.954,45.486,18.613,29.973,43.541,15.478,18.836,18.52,289.8,191.3,208.1
1961-11-01 00:00:00,9.8,20.7,2.8,-0.5,-0.1,63.5,-0.2,1.3,-0.1,0.7,0,1.6,25,0.4,1.2,261.4,0,1,0,0.6,0.1,57.072,16.502,26.692,18.106,8.978,7.152,45.439,18.849,30.195,44.251,15.659,19.018,18.639,290.5,191.2,207.7
1961-12-01 00:00:00,9.8,20.9,2.1,0.1,0.9,64.2,0.2,0.9,0.0,0.5,-0.1,-0.1,24.7,-1,0.7,263.5,0.1,0.7,0,0.5,0.1,57.149,16.53,26.679,18.085,8.89,7.299,45.867,19.02,30.351,44.212,15.77,19.15,18.724,289.1,191.2,207.7
1962-01-01 00:00:00,11,21.0,-0.3,-0.1,-0.9,63.8,0.5,0,0.1,0.1,0.2,1.3,25.1,0.3,0.1,264.2,0.1,0,0.2,0.1,0.3,57.1,16.606,26.705,18.114,8.914,7.274,45.439,19.012,30.368,44.785,15.793,19.156,18.745,289.1,192.7,208.9
1962-02-01 00:00:00,11,21.2,-0.5,0.1,0.5,64.5,0.5,-0.3,0.4,-0.3,0.4,0.3,25.4,0.7,-0.2,264.1,0.2,0,0.3,0.3,0.2,57.185,16.694,26.802,18.193,8.979,7.241,45.656,18.951,30.286,44.92,15.76,19.147,18.792,290.9,193.5,210.1
1962-03-01 00:00:00,11.1,21.3,1.5,0.2,-0.2,64.6,0.3,1.2,0.1,1.1,0,2.5,25.7,-1.3,0.9,267.1,0.2,0.8,0.1,0.4,0.2,57.3,16.736,26.824,18.2,8.865,7.352,45.584,19.18,30.616,46.032,15.904,19.306,18.871,291.5,193.5,209.4
1962-04-01 00:00:00,11.2,21.4,0.7,-0.2,-0.7,64.2,0.0,0,0.1,-0.2,0.2,-1.5,25.6,1.3,0.8,269.2,0,0.3,0.1,0.7,0.1,57.2,16.744,26.859,18.244,8.981,7.4,45.287,19.18,30.549,45.324,16.026,19.373,19.007,293.0,195.5,211.3
1962-05-01 00:00:00,11.2,21.5,2.3,0,0.9,64.6,-0.2,1,-0.1,0.5,-0.1,-0.2,25.5,-0.1,0.8,271.8,0.1,0.8,0.1,0.6,0.2,57.214,16.712,26.834,18.219,8.971,7.572,45.687,19.364,30.696,45.225,16.159,19.521,19.113,295.0,195.4,210.8
1962-06-01 00:00:00,11.2,21.6,-1.2,0.3,-0.3,64.3,-0.1,-1,0,-1,-0.2,0.6,25.5,-0.8,-0.6,270.6,0.2,-0.5,0.1,0.1,0.2,57.393,16.694,26.821,18.187,8.9,7.483,45.536,19.162,30.389,45.488,16.055,19.423,19.131,292.6,192.4,208.3
