date,PAYEMS,PAYNSA,CEU0500000001,USPRIV,CES0600000006,CES0600000007,CES0600000008,CES0600000030,CES0600000034,CES0600000035,CEU0600000001,CEU0600000006,CEU0600000007,CEU0600000008,CEU0600000030,CEU0600000034,CEU0600000035,USGOOD,SRVPRD,CES0800000001,CEU0800000001,CES1000000006,CES1000000007,CES1000000008,CES1000000010,CES1000000030,CES1000000034,CES1000000035,CES1000000039,CES1011330001,CES1021000001,CEU1000000001,CEU1000000006,CEU1000000007,CEU1000000008,CEU1000000010,CEU1000000030,CEU1000000034,CEU1000000035,CEU1011330001,CEU1021000001,USMINE,AHECONS,CES2000000006,CES2000000007,CES2000000008,CES2000000030,CES2000000034,CES2000000035,CEU2000000001,CEU2000000006,CEU2000000007,CEU2000000030,CEU2000000034,CEU2000000035,USCONS,AHEMAN,AWHMAN,AWOTMAN,CES3000000006,CES3000000008,CES3000000010,CES3000000030,CES3000000034,CES3000000035,CES3000000039,CEU3000000001,CEU3000000006,CEU3000000007,CEU3000000009,CEU3000000010,CEU3000000030,CEU3000000034,CEU3000000035,MANEMP,CES3100000006,CES3100000007,CES3100000008,CES3100000009,CES3100000010,CES3100000030,CES3100000034,CES3100000035,CES3100000039,CES3132700001,CES3133660001,CEU3100000001,CEU3100000006,CEU3100000007,CEU3100000008,CEU3100000009,CEU3100000010,CEU3100000030,CEU3100000034,CEU3100000035,CEU3132700001,CEU3133660001,DMANEMP,CES3200000006,CES3200000007,CES3200000008,CES3200000009,CES3200000010,CES3200000030,CES3200000034,CES3200000035,CES3200000039,CEU3200000001,CEU3200000006,CEU3200000007,CEU3200000008,CEU3200000009,CEU3200000010,CEU3200000030,CEU3200000034,CEU3200000035,NDMANEMP,CEU4000000001,USTPU,CEU4142000001,USWTRADE,CEU4200000001,USTRADE,CES4348200001,CEU4348200001,CEU5000000001,USINFO,CEU5500000001,USFIRE,CEU6000000001,USPBS,CEU6500000001,USEHS,CEU7000000001,USLAH,CEU8000000001,USSERV,CES9091000001,CES9091100001,CES9091912001,CES9092000001,CES9092161101,CES9092200001,CES9093000001,CES9093161101,CES9093200001,CEU9000000001,CEU9091000001,CEU9091100001,CEU9091912001,CEU9092000001,CEU9092161101,CEU9092200001,CEU9093000001,CEU9093161101,CEU9093200001,USGOVT
1960-01-01 00:00:00,54274,53448,45135,45967,15676,40.1,2.22,89.02,96.1,13.1,18996,15197,39.7,2.23,88.53,92.2,12.6,19491,34783,26476,26139,612,42.3,2.55,56,107.87,137.6,20.4,7.2,96.5,686.0,766,598,41.9,2.58,56,108.10,133.1,20.0,85.4,680.8,783,2.61,2702,37.0,2.57,95.09,50.1,6.9,2671,2355,35.8,93.44,42.2,5.9,3021,2.14,40.6,3.0,12362,2.13,3896,86.48,115.2,16.0,24.8,15559,12244,40.3,2.8,3811,86.24,113.3,15.9,15687,7152,41.4,2.37,3.1,1648,98.12,111.2,16.5,17.7,553.3,135.9,9269,7132,41.1,2.38,2.9,1630,97.82,110.1,16.4,530.5,136.1,9289,5210,39.6,1.79,2.8,2248,70.88,121.6,15.4,35.1,6290,5112,39.3,1.80,2.6,2181,70.74,118.4,15.1,6398,10968,11095,2649.9,2657.9,5470.7,5554.1,890.0,870.2,1721,1741,2474,2496,3632,3685,2849,2893,3377,3431,1118,1135,2333.0,1750.0,562.4,1503.0,435.7,1068.4,4471.0,2272.5,2198.7,8313,2293.0,1734.1,559.0,1508.0,453.2,1054.8,4512.0,2350.3,2161.7,8307
1960-02-01 00:00:00,54513,53422,45060,46187,15767,39.7,2.23,88.53,95.7,13.1,18971,15160,39.3,2.23,87.64,91.0,12.4,19605,34908,26582,26089,615,41.4,2.54,57,105.16,135.3,20.0,7.2,96.5,690.9,766,596,41.0,2.56,57,104.96,129.9,19.3,83.7,682.3,787,2.62,2718,36.8,2.59,95.31,50.1,7.0,2606,2290,35.5,93.01,40.7,5.8,3053,2.14,40.3,2.8,12434,2.14,3898,86.24,115.0,16.1,24.7,15599,12274,39.9,2.6,3834,85.39,112.4,15.7,15765,7221,40.9,2.38,2.9,1656,97.34,111.0,16.5,17.7,554.1,123.2,9302,7159,40.5,2.38,2.7,1637,96.39,108.9,16.2,532.0,123.0,9358,5213,39.4,1.80,2.7,2242,70.92,121.0,15.4,35.0,6297,5115,39.0,1.80,2.5,2197,70.20,117.5,14.9,6407,10898,11130,2638.1,2662.6,5411.5,5578.0,888.5,869.4,1724,1747,2487,2506,3643,3701,2863,2907,3351,3451,1123,1140,2334.0,1748.4,563.3,1506.0,437.4,1068.7,4486.0,2282.3,2204.5,8362,2295.0,1736.8,558.4,1517.0,460.3,1056.7,4550.0,2380.0,2170.0,8326
1960-03-01 00:00:00,54454,53494,44932,45929,15531,39.5,2.24,88.48,93.7,12.9,18836,15008,39.2,2.23,87.42,89.9,12.3,19373,35081,26556,26096,615,42.6,2.57,57,109.48,139.2,20.8,7.3,95.3,689.2,761,590,42.1,2.58,57,108.62,132.0,19.8,80.9,680.2,785,2.68,2554,36.3,2.69,97.65,46.4,6.7,2516,2197,35.3,94.60,38.8,5.6,2881,2.14,40.0,2.7,12362,2.14,3887,85.60,113.5,15.9,24.7,15559,12221,39.7,2.5,3834,84.96,111.4,15.6,15707,7152,40.6,2.38,2.7,1645,96.63,109.1,16.2,17.7,546.5,124.3,9253,7100,40.4,2.38,2.5,1628,96.15,107.8,16.0,529.6,125.1,9301,5210,39.1,1.80,2.6,2242,70.38,120.0,15.3,35.0,6306,5121,38.8,1.80,2.5,2206,69.84,117.1,14.9,6406,10890,11117,2633.0,2666.8,5402.6,5573.0,888.7,873.4,1725,1746,2495,2513,3646,3695,2868,2907,3347,3438,1125,1140,2523.0,1933.5,563.1,1509.0,438.9,1071.2,4493.0,2286.7,2209.4,8562,2483.0,1925.7,557.2,1522.0,462.3,1059.7,4557.0,2374.7,2182.3,8525
1960-04-01 00:00:00,54813,54285,45711,46279,15599,39.8,2.23,88.75,94.9,13.0,19107,15269,39.3,2.23,87.64,91.7,12.5,19446,35367,26833,26604,616,42.9,2.56,57,109.82,140.4,20.9,7.2,94.6,692.9,774,601,42.3,2.56,57,108.29,135.1,20.1,83.6,690.1,788,2.60,2684,38.1,2.61,99.44,51.2,7.2,2844,2523,37.6,97.76,47.5,6.7,3004,2.14,40.0,2.3,12299,2.14,3860,85.60,112.9,15.8,24.7,15489,12145,39.5,2.2,3787,84.53,110.1,15.4,15654,7087,40.5,2.37,2.4,1626,95.99,107.8,16.0,17.6,549.9,126.5,9200,7048,40.1,2.37,2.2,1606,95.04,106.2,15.7,543.1,128.3,9242,5212,39.3,1.81,2.5,2234,71.13,120.7,15.4,34.8,6289,5097,38.6,1.81,2.3,2181,69.87,115.9,14.8,6412,11122,11279,2639.2,2677.3,5605.4,5671.2,888.5,879.6,1732,1747,2512,2520,3700,3712,2924,2919,3467,3511,1147,1145,2511.0,1928.5,563.9,1517.0,442.2,1075.2,4506.0,2293.6,2214.2,8574,2486.0,1927.7,558.4,1531.0,463.9,1067.1,4557.0,2364.6,2192.4,8534
1960-05-01 00:00:00,54475,54349,45889,46043,15530,39.6,2.24,88.70,94.0,12.9,19287,15445,39.7,2.24,88.93,93.7,12.9,19374,35101,26669,26602,609,42.4,2.56,56,108.54,137.2,20.4,7.2,92.6,685.8,783,609,42.4,2.55,56,108.12,137.2,20.4,92.1,691.3,778,2.61,2703,37.0,2.64,97.68,50.1,7.1,3050,2727,37.5,97.88,51.2,7.2,3021,2.14,40.1,2.6,12218,2.14,3841,85.81,112.5,15.7,24.7,15454,12109,40.1,2.5,3781,85.81,111.5,15.6,15575,7012,40.5,2.37,2.6,1612,95.99,106.7,15.8,17.6,548.1,127.9,9161,7011,40.6,2.37,2.5,1601,96.22,106.9,15.8,551.3,129.8,9169,5206,39.5,1.82,2.6,2229,71.89,121.2,15.6,34.8,6293,5098,39.4,1.82,2.5,2180,71.71,118.3,15.2,6406,11072,11157,2634.8,2671.7,5557.5,5596.8,881.5,883.7,1733,1739,2518,2523,3722,3713,2951,2928,3449,3461,1157,1148,2387.0,1801.0,564.5,1522.0,443.3,1079.0,4523.0,2296.7,2223.9,8460,2358.0,1799.4,558.7,1537.0,465.2,1071.8,4565.0,2351.2,2213.8,8432
1960-06-01 00:00:00,54348,54768,46344,45916,15383,39.5,2.24,88.48,92.9,12.7,19496,15615,39.9,2.24,89.38,95.2,13.1,19240,35108,26676,26848,602,41.8,2.55,56,106.59,133.7,19.8,7.2,93.2,682.0,796,618,42.4,2.55,56,108.12,139.2,20.7,103.9,692.5,775,2.61,2679,37.3,2.64,98.47,50.0,7.1,3191,2862,38.1,99.44,54.6,7.7,2999,2.14,39.9,2.4,12102,2.14,3821,85.39,110.8,15.5,24.7,15509,12135,40.2,2.5,3802,86.03,112.0,15.7,15466,6918,40.4,2.37,2.4,1599,95.75,105.0,15.5,17.6,543.8,125.0,9137,6974,40.7,2.37,2.5,1598,96.46,106.6,15.8,557.0,125.9,9078,5184,39.3,1.82,2.5,2222,71.53,120.0,15.4,34.8,6372,5161,39.5,1.82,2.6,2204,71.89,120.1,15.4,6388,11162,11147,2655.1,2668.0,5595.9,5594.8,873.9,890.0,1748,1734,2545,2528,3761,3715,2986,2938,3476,3462,1170,1152,2353.0,1763.1,567.1,1534.0,445.6,1089.8,4545.0,2318.6,2228.5,8424,2351.0,1785.2,565.6,1537.0,433.6,1103.4,4536.0,2261.8,2274.2,8432
1960-07-01 00:00:00,54306,54412,46241,45864,15313,39.6,2.25,89.10,92.7,12.8,19413,15519,39.8,2.25,89.55,94.4,13.0,19170,35136,26694,26828,581,42.4,2.54,55,107.70,130.9,19.3,7.3,92.3,663.1,771,591,42.6,2.53,55,107.78,133.8,19.7,104.7,665.9,755,2.64,2685,37.7,2.66,100.28,50.7,7.3,3281,2953,38.7,102.17,57.2,8.2,3002,2.14,39.9,2.4,12047,2.14,3810,85.39,110.3,15.4,24.7,15361,11975,39.9,2.4,3756,85.39,109.7,15.4,15413,6876,40.3,2.38,2.3,1592,95.91,104.1,15.5,17.6,540.9,134.0,8989,6824,40.2,2.37,2.3,1572,95.27,103.1,15.2,554.5,133.2,9035,5171,39.3,1.82,2.5,2218,71.53,119.7,15.4,34.8,6372,5151,39.6,1.83,2.6,2184,72.47,120.2,15.5,6378,11139,11142,2675.1,2667.0,5559.4,5597.3,865.4,881.2,1740,1730,2575,2536,3758,3718,2988,2947,3456,3465,1172,1156,2346.0,1755.5,569.9,1541.0,454.4,1087.5,4555.0,2321.3,2233.1,8171,2351.0,1780.4,570.4,1506.0,389.8,1116.2,4314.0,2011.9,2302.1,8442
1960-08-01 00:00:00,54272,54610,46446,45800,15235,39.4,2.26,89.04,91.7,12.7,19609,15700,39.7,2.24,88.93,95.2,13.1,19105,35167,26695,26837,590,41.9,2.56,55,107.26,131.4,19.6,7.1,89.4,682.8,788,609,42.3,2.54,55,107.44,136.9,20.2,101.4,686.5,772,2.66,2659,37.2,2.68,99.70,49.5,7.2,3312,2988,38.6,102.68,57.7,8.3,2973,2.13,39.7,2.4,11986,2.15,3799,85.36,109.2,15.4,24.7,15509,12103,39.9,2.5,3894,84.99,110.9,15.4,15360,6839,40.2,2.38,2.3,1590,95.68,103.3,15.3,17.7,536.9,133.3,8967,6787,40.2,2.36,2.4,1594,94.87,102.5,15.1,554.8,131.7,9007,5147,39.1,1.84,2.5,2209,71.94,118.6,15.4,34.8,6542,5316,39.5,1.82,2.6,2300,71.89,123.7,15.9,6353,11166,11141,2716.4,2691.3,5554.2,5592.3,857.5,874.1,1742,1724,2579,2543,3756,3718,2978,2949,3448,3463,1168,1157,2349.0,1762.5,570.7,1548.0,451.9,1091.7,4575.0,2324.9,2242.5,8164,2352.0,1779.7,572.1,1499.0,377.3,1121.7,4313.0,2009.0,2304.0,8472
1960-09-01 00:00:00,54227,54906,46435,45733,15185,39.1,2.26,88.37,90.7,12.6,19627,15736,39.5,2.26,89.27,95.0,13.1,19057,35170,26676,26808,585,41.5,2.54,55,105.41,129.0,19.1,7.2,89.9,678.3,780,602,41.9,2.54,55,106.43,134.0,19.8,99.1,680.6,768,2.69,2644,37.2,2.68,99.70,49.2,7.1,3246,2924,38.2,102.76,55.9,8.1,2959,2.15,39.4,2.3,11956,2.16,3802,85.10,108.1,15.3,24.8,15601,12210,39.7,2.5,3930,85.36,111.3,15.6,15330,6821,39.9,2.39,2.2,1588,95.36,102.2,15.3,17.7,536.6,134.7,9046,6876,40.2,2.39,2.5,1617,96.08,103.8,15.5,552.6,132.5,8985,5135,38.7,1.84,2.4,2214,71.21,117.1,15.2,34.9,6555,5334,39.1,1.83,2.6,2313,71.55,122.9,15.9,6345,11173,11124,2703.0,2676.7,5589.0,5591.1,837.2,844.7,1740,1720,2559,2549,3745,3717,2964,2948,3464,3462,1163,1156,2351.0,1762.3,573.2,1557.0,453.2,1103.4,4586.0,2333.4,2251.0,8471,2329.0,1757.2,571.5,1544.0,425.9,1118.1,4598.0,2327.1,2270.9,8494
1960-10-01 00:00:00,54142,54779,46214,45640,15070,39.4,2.27,89.44,90.7,12.6,19390,15516,39.7,2.27,90.12,94.1,13.1,18952,35190,26688,26824,586,41.5,2.57,55,106.66,129.2,19.3,7.2,88.2,677.2,773,596,41.9,2.56,55,107.26,132.7,19.8,94.0,678.7,765,2.70,2638,37.5,2.69,100.88,49.5,7.2,3200,2880,38.6,104.22,55.7,8.1,2956,2.15,39.7,2.4,11846,2.16,3761,85.75,108.0,15.2,24.7,15417,12040,39.8,2.5,3874,85.57,110.0,15.5,15231,6727,40.3,2.40,2.4,1563,96.72,101.8,15.3,17.6,534.1,132.8,8947,6783,40.4,2.39,2.5,1599,96.56,102.9,15.4,544.8,132.4,8902,5119,38.9,1.84,2.4,2198,71.58,117.3,15.3,34.7,6470,5257,39.1,1.83,2.5,2275,71.55,121.1,15.7,6329,11198,11117,2702.1,2672.0,5628.8,5596.8,835.9,839.3,1728,1714,2544,2548,3738,3720,2967,2960,3485,3468,1164,1161,2351.0,1759.9,573.2,1557.0,454.3,1102.3,4594.0,2339.2,2253.6,8565,2325.0,1753.9,570.6,1573.0,475.9,1097.1,4667.0,2430.3,2236.7,8502
1960-11-01 00:00:00,53961,54478,45870,45445,14921,39.0,2.26,88.14,88.9,12.3,19029,15152,38.9,2.26,87.91,90.1,12.5,18799,35162,26646,26841,576,41.4,2.54,54,105.16,126.7,18.7,7.2,85.0,666.3,755,581,41.2,2.54,54,104.65,127.2,18.8,86.0,669.4,751,2.69,2619,37.2,2.69,100.07,48.8,7.1,3033,2712,36.2,97.38,49.2,7.1,2936,2.15,39.3,2.1,11726,2.15,3742,84.50,105.8,14.9,24.8,15241,11859,39.4,2.2,3818,84.71,107.3,15.1,15112,6627,39.7,2.38,1.9,1554,94.49,98.8,14.7,17.7,527.0,131.7,8877,6705,39.8,2.38,2.1,1589,94.72,100.3,14.9,531.8,132.1,8802,5099,38.8,1.85,2.3,2188,71.78,116.6,15.2,34.7,6364,5154,38.8,1.85,2.4,2229,71.78,117.8,15.4,6310,11231,11076,2695.4,2667.4,5687.9,5575.0,826.5,821.1,1713,1705,2547,2557,3719,3717,2956,2968,3515,3459,1160,1164,2340.0,1756.9,573.8,1563.0,456.4,1106.4,4613.0,2347.4,2269.2,8608,2325.0,1748.8,575.7,1577.0,483.8,1093.2,4706.0,2454.0,2252.0,8516
1960-12-01 00:00:00,53742,54601,45702,45145,14643,38.0,2.26,85.88,85.0,11.8,18418,14543,38.1,2.28,86.87,84.7,11.8,18548,35194,26597,27284,565,40.9,2.56,55,104.70,122.8,18.3,7.4,81.4,658.0,736,563,41.0,2.57,54,105.37,122.7,18.3,77.4,658.7,739,2.75,2522,35.5,2.71,96.21,44.8,6.6,2724,2405,34.8,95.70,41.9,6.2,2862,2.17,38.4,2.0,11556,2.16,3698,82.94,101.9,14.4,24.7,14958,11575,38.7,2.1,3694,83.98,102.8,14.6,14947,6501,38.8,2.39,1.8,1538,92.73,94.8,14.1,17.7,521.2,131.6,8709,6533,39.2,2.41,2.0,1540,94.47,96.2,14.5,512.2,130.6,8681,5055,37.8,1.85,2.2,2160,69.93,112.6,14.7,34.5,6249,5042,38.0,1.86,2.2,2154,70.68,112.9,14.8,6266,11554,11045,2703.3,2663.6,6018.4,5564.1,816.1,819.6,1693,1691,2548,2560,3703,3710,2945,2972,3686,3454,1155,1165,2403.0,1762.8,829.9,1571.0,457.9,1113.9,4623.0,2357.8,2265.8,8899,2629.0,1758.0,870.8,1578.0,478.7,1099.3,4692.0,2456.2,2235.8,8597
