date,GBRREC,GBRRECD,GBRRECDM,GBRRECDP,GBRRECM,GBRRECP,NAFTAREC,NAFTARECD,NAFTARECDM,NAFTARECDP,NAFTARECM,NAFTARECP,USAREC,USARECD,USARECDM,USARECDP,USARECM,USARECP,USREC,USRECD,USRECDM,USRECDP,USRECM,USRECP,DTCOLNOHFNM,DTCOLNOHFXDFBANA,DTCOLNOHFXDFBANM,DTCOLNVHFNM,DTCOLNVHFXDFBANA,DTCOLNVHFXDFBANM,DTCTHFNM,DTCTHFXDFBANA,DTCTHFXDFBANM,DTTHFNM,DTTHFXDFBANA,DTTHFXDFBANM,PERMIT,PERMIT1,PERMIT1NSA,PERMIT24,PERMIT24NSA,PERMIT5,PERMIT5NSA,PERMITNSA,HOUST,HOUST1F,HOUST1FNSA,HOUST2F,HOUST5F,HOUSTNSA,SHTNSAUS,SHTSAUS
1960-01-01 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6701.0000000,384.0000000,32.0000000,7362.0000000,-324.0000000,-27.0000000,14063.0000000,60.0000000,5.0000000,14063.0000000,60.0000000,5.0000000,1092,846,46.8,67,4.3,179,11.5,62.6,1460,1211,68.4,0,249,86.0,7.0,114.0
1960-02-01 00:00:00,0,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6748.0000000,564.0000000,47.0000000,7396.0000000,408.0000000,34.0000000,14144.0000000,972.0000000,81.0000000,14144.0000000,972.0000000,81.0000000,1088,868,52.7,71,4.9,149,10.5,68.1,1503,1208,71.5,0,295,90.7,9.0,116.0
1960-03-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6783.0000000,420.0000000,35.0000000,7456.0000000,720.0000000,60.0000000,14239.0000000,1140.0000000,95.0000000,14239.0000000,1140.0000000,95.0000000,955,729,67.7,60,6.3,166,15.0,89.0,1109,904,73.5,0,205,90.5,9.0,104.0
1960-04-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,6831.0000000,576.0000000,48.0000000,7582.0000000,1512.0000000,126.0000000,14413.0000000,2088.0000000,174.0000000,14413.0000000,2088.0000000,174.0000000,1016,778,78.7,57,5.6,181,16.8,101.1,1289,1049,101.0,0,240,123.0,9.0,96.0
1960-05-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6886.0000000,660.0000000,55.0000000,7673.0000000,1092.0000000,91.0000000,14559.0000000,1752.0000000,146.0000000,14559.0000000,1752.0000000,146.0000000,1052,758,76.1,63,5.9,231,21.4,103.4,1271,1009,103.9,0,262,130.2,11.0,111.0
1960-06-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7011.0000000,1500.0000000,125.0000000,7805.0000000,1584.0000000,132.0000000,14816.0000000,3084.0000000,257.0000000,14816.0000000,3084.0000000,257.0000000,958,749,75.8,68,6.2,141,12.8,94.8,1247,1003,100.7,0,244,122.8,10.0,106.0
1960-07-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7175.0000000,1968.0000000,164.0000000,7853.0000000,576.0000000,48.0000000,15028.0000000,2544.0000000,212.0000000,15028.0000000,2544.0000000,212.0000000,999,732,65.8,77,5.8,190,14.7,86.3,1197,947,92.3,0,250,114.3,8.0,101.0
1960-08-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7327.0000000,1824.0000000,152.0000000,7881.0000000,336.0000000,28.0000000,15208.0000000,2160.0000000,180.0000000,15208.0000000,2160.0000000,180.0000000,994,732,70.0,65,5.7,197,18.0,93.7,1344,1091,105.4,0,253,130.3,10.0,109.0
1960-09-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7428.0000000,1212.0000000,101.0000000,7854.0000000,-324.0000000,-27.0000000,15282.0000000,888.0000000,74.0000000,15282.0000000,888.0000000,74.0000000,984,704,62.3,63,5.2,217,17.4,84.9,1097,865,76.7,0,232,96.9,10.0,105.0
1960-10-01 00:00:00,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7464.0000000,432.0000000,36.0000000,7812.0000000,-504.0000000,-42.0000000,15276.0000000,-72.0000000,-6.0000000,15276.0000000,-72.0000000,-6.0000000,972,711,59.6,58,5.0,203,17.0,81.6,1246,922,85.8,0,324,110.4,8.7,95.0
